id;nom;fichier;fichier_content_type;ref_externe;note
1;Fiji Dollar Profound Bacon;../fake-data/blob/hipster.png;image/png;Macao Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.txt
2;Agent;../fake-data/blob/hipster.png;image/png;Human deposit;../fake-data/blob/hipster.txt
3;even-keeled Saint Helena Pound;../fake-data/blob/hipster.png;image/png;Internal AI optical;../fake-data/blob/hipster.txt
4;bypassing Marketing;../fake-data/blob/hipster.png;image/png;Dynamic Home Loan Account Tools;../fake-data/blob/hipster.txt
5;Branding;../fake-data/blob/hipster.png;image/png;Home Gloves Latvia;../fake-data/blob/hipster.txt
6;Ports Manager Fish;../fake-data/blob/hipster.png;image/png;Networked;../fake-data/blob/hipster.txt
7;Fish;../fake-data/blob/hipster.png;image/png;payment calculating;../fake-data/blob/hipster.txt
8;local area network Benin;../fake-data/blob/hipster.png;image/png;turn-key dedicated;../fake-data/blob/hipster.txt
9;Wisconsin;../fake-data/blob/hipster.png;image/png;target Human withdrawal;../fake-data/blob/hipster.txt
10;dot-com payment Libyan Dinar;../fake-data/blob/hipster.png;image/png;white sensor local;../fake-data/blob/hipster.txt
