id;statut;date_creation_demande;lanque;priorite;modalite;type_activite
1;ATTENTE;2019-12-02T17:01:49;FRANCAIS;INCONNU;DIFERE;DEMANDE_OPINION
2;ANNULE;2019-12-02T12:26:13;ANGLAIS;URGENT;REEL_AVEC_PATIENT;TELECONSULTATION
3;ANNULE;2019-12-02T14:00:52;FRANCAIS;INCONNU;REEL_AVEC_PATIENT;DISCUSSION
4;ATTENTE;2019-12-02T04:45:01;ANGLAIS;INCONNU;REEL;TELECONSULTATION
5;TERMINE;2019-12-02T18:57:07;ANGLAIS;NORMAL;DIFERE;DEMANDE_DE_TRANSFERT
6;REFUSE;2019-12-02T08:51:59;ANGLAIS;NORMAL;DIFERE;DEMANDE_DE_TRANSFERT
7;TERMINE;2019-12-02T14:11:25;ANGLAIS;NORMAL;DIFERE;DEMANDE_DE_TRANSFERT
8;REFUSE;2019-12-02T08:25:41;ANGLAIS;INCONNU;REEL_AVEC_PATIENT;DEMANDE_OPINION
9;REFUSE;2019-12-01T22:10:01;ANGLAIS;IMPORTANT;REEL;DISCUSSION
10;REFUSE;2019-12-02T02:23:40;FRANCAIS;IMPORTANT;REEL_AVEC_PATIENT;TELECONSULTATION
